name,slug,image_filename,image_path
Plank,plank,plank.jpg,/exercises/plank.jpg
Preacher Curl,preacher-curl,preacher-curl.jpg,/exercises/preacher-curl.jpg
Pull-up,pull-up,pull-up.jpg,/exercises/pull-up.jpg
Push-Up,push-up,push-up.jpg,/exercises/push-up.jpg
Reverse Lunges,reverse-lunges,reverse-lunges.jpg,/exercises/reverse-lunges.jpg
Reverse Pec Deck,reverse-pec-deck,reverse-pec-deck.jpg,/exercises/reverse-pec-deck.jpg
Romanian Deadlift,romanian-deadlift,romanian-deadlift.jpg,/exercises/romanian-deadlift.jpg
Rowing Machine,rowing-machine,rowing-machine.jpg,/exercises/rowing-machine.jpg
Russian Twist with Medicine Ball,russian-twist-with-medicine-ball,russian-twist-with-medicine-ball.jpg,/exercises/russian-twist-with-medicine-ball.jpg
Russian Twists,russian-twists,russian-twists.jpg,/exercises/russian-twists.jpg
Seated Cable Row,seated-cable-row,seated-cable-row.jpg,/exercises/seated-cable-row.jpg
Seated Calf Raise,seated-calf-raise,seated-calf-raise.jpg,/exercises/seated-calf-raise.jpg
Seated Dumbbell Press,seated-dumbbell-press,seated-dumbbell-press.jpg,/exercises/seated-dumbbell-press.jpg
Seated Leg Curl,seated-leg-curl,seated-leg-curl.jpg,/exercises/seated-leg-curl.jpg
Side Plank,side-plank,side-plank.jpg,/exercises/side-plank.jpg
Single-Arm Dumbbell Row,single-arm-dumbbell-row,single-arm-dumbbell-row.jpg,/exercises/single-arm-dumbbell-row.jpg
Skull Crushers,skull-crushers,skull-crushers.jpg,/exercises/skull-crushers.jpg
Stair Climber,stair-climber,stair-climber.jpg,/exercises/stair-climber.jpg
Standing Calf Raise,standing-calf-raise,standing-calf-raise.jpg,/exercises/standing-calf-raise.jpg
Stationary Bike,stationary-bike,stationary-bike.jpg,/exercises/stationary-bike.jpg
Straight-Arm Pulldown,straight-arm-pulldown,straight-arm-pulldown.jpg,/exercises/straight-arm-pulldown.jpg
Superman,superman,superman.jpg,/exercises/superman.jpg
T-Bar Row,t-bar-row,t-bar-row.jpg,/exercises/t-bar-row.jpg
Toes to Bar,toes-to-bar,toes-to-bar.jpg,/exercises/toes-to-bar.jpg
Treadmill Sprint,treadmill-sprint,treadmill-sprint.jpg,/exercises/treadmill-sprint.jpg
Triceps Dips on Chair,triceps-dips-on-chair,triceps-dips-on-chair.jpg,/exercises/triceps-dips-on-chair.jpg
Triceps Rope Pushdown,triceps-rope-pushdown,triceps-rope-pushdown.jpg,/exercises/triceps-rope-pushdown.jpg
Upright Row,upright-row,upright-row.jpg,/exercises/upright-row.jpg
V-Ups,v-ups,v-ups.jpg,/exercises/v-ups.jpg
Weighted Dips,weighted-dips,weighted-dips.jpg,/exercises/weighted-dips.jpg
Woodchoppers,woodchoppers,woodchoppers.jpg,/exercises/woodchoppers.jpg
